,Dex #,Item,Ability ,Move A,Move B,Move C,Move D,Nature,IVs *,HP,Atk,Def,Sp.Atk,Sp.Def,Speed,Notes,,,,,,Test,,
Raichu,26,--,Static,Thunder,Fly,Dig,Magnet Rise,Docile,9,260,215,145,215,195,235,,,,,,,,,
Sandshrew,27,--,Sand Veil,Earthquake,Rock Slide,X-Scissor,Swords Dance,Adamant,31,251,239,206,68,149,148,,,,,,,,,
Sandslash,28,--,Sand Veil,Earthquake,Strength,Poison Jab,Sandstorm,Careful,12,293,238,258,115,162,168,,,,,,,,,
Nidoran-F,29,--,Hustle,Poison Jab,Dig,Aerial Ace,Thunder,Adamant,31,266,212,143,104,119,161,,,,,,,,,
Nidorina,30,--,Rivalry,Super Fang,Sludge Bomb,Blizzard,Flatter,Modest,20,291,134,180,217,156,137,,,,,,,,,
Nidoqueen,31,--,Poison Point,Earthquake,Poison Jab,Icy Wind,Tail Whip,Modest,8,319,178,208,202,204,186,,,,,,,,,
Nidoran-M,32,--,Hustle,Poison Jab,Head Smash,Sucker Punch,Horn Drill,Jolly,31,265,182,130,104,130,188,,,,,,,,,
Nidorino,33,--,Rivalry,Shadow Ball,Blizzard,Horn Drill,Sucker Punch,Modest,20,273,152,171,194,167,155,,,,,,,,,
Nidoking,34,--,Rivalry,Earthquake,Poison Jab,Surf,Giga Impact,Sassy,8,301,208,188,204,202,183,,,,,,,,,
Clefairy,35,--,Magic Guard,Hyper Voice,Ice Beam,Calm Mind,Metronome,Modest,31,313,113,164,210,194,106,,,,,,,,,
Clefable,36,--,Magic Guard,Strength,Meteor Mash,Zen Headbutt,Endure,Adamant,10,313,193,203,166,216,156,,,,,,,,,
Vulpix,37,--,Drought,Heat Wave,Energy Ball,Confuse Ray,Will-O-Wisp,Calm,31,219,106,148,183,198,198,,,,,,,,,
Ninetales,38,--,Flash Fire,Overheat,Dig,Grudge,Power Swap,Naughty,7,284,203,183,195,209,233,,,,,,,,,
Jigglypuff,39,--,Cute Charm,Brick Break,Fire Blast,Light Screen,Reflect,Impish,31,372,126,152,113,149,76,,,,,,,,,
Wigglytuff,40,--,Cute Charm,Pound,Focus Punch,Shadow Ball,Sing,Adamant,31,442,262,147,167,157,126,,,,,,,,,
Zubat,41,--,Inner Focus,Super Fang,Brave Bird,Confuse Ray,Shadow Ball,Jolly,31,222,189,106,86,116,229,,,,,,,,,
Golbat,42,--,Inner Focus,Air Slash,Giga Drain,Confuse Ray,Taunt,Hasty,31,291,165,158,180,186,253,,,,,,,,,
Oddish,43,--,Chlorophyll,Solar Beam,Sludge Bomb,Teeter Dance,Sunny Day,Modest,31,290,122,150,239,166,128,,,,,,,,,
Gloom,44,--,Chlorophyll,Energy Ball,Sludge Bomb,Moonlight,Sunny Day,Timid,17,268,155,183,213,193,135,,,,,,,,,
Vileplume,45,--,Effect Spore,Solar Beam,Acid,Drain Punch,Tickle,Modest,31,313,176,227,328,237,136,,,,,,,,,
Paras,46,--,Dry Skin,Seed Bomb,X-Scissor,Spore,Swords Dance,Adamant,31,212,262,146,113,146,149,,,,,,,,,
Parasect,47,Wide Lens,Dry Skin,Fury Cutter,Giga Drain,Agility,Spore,Adamant,31,289,317,196,140,196,132,,,,,,,,,
Venonat,48,--,Tinted Lens,Sludge Bomb,Psychic,Sleep Powder,Morning Sun,Timid,26,257,126,131,174,141,202,,,,,,,,,
Venomoth,49,--,Tinted Lens,Bug Buzz,Disable,Toxic Spikes,Substitute,Bold ,12,283,151,173,218,188,218,,,,,,,,,
Diglett,50,--,Sand Veil,Earthquake,Rock Slide,Fissure,Memento,Jolly,31,162,209,86,95,126,317,,,,,,,,,
Dugtrio,51,--,Arena Trap,Dig,Stone Edge,Fissure,Stealth Rock,Jolly,16,217,202,142,127,182,310,,,,,,,,,
Meowth,52,--,Technician,Flail,Bite,Spite,Substitute,Adamant,27,237,203,102,100,112,256,,,,,,,,,
Persian,53,--,Technician,Fake Out,Headbutt,Thunderbolt,Water Pulse,Lonely,13,274,196,143,169,169,269,,,,,,,,,
Psyduck,54,--,Cloud Nine,Surf,Blizzard,Petal Dance,Calm Mind,Timid,31,263,126,163,187,167,184,,,,,,,,,
Golduck,55,--,Cloud Nine,Aqua Tail,Zen Headbutt,Cross Chop,Giga Impact,Adamant,7,298,216,189,200,193,203,,,,,,,,,
Mankey,56,--,Anger Point,Close Combat,Iron Tail,Overheat,Thunder,Jolly,26,237,212,122,109,142,211,,,,,,,,,
Primeape,57,--,Vital Spirit,Cross Chop,Overheat,Thrash,Focus Energy,Modest,11,272,222,157,172,177,227,,,,,,,,,
Growlithe,58,--,Intimidate,Flare Blitz,Close Combat,Will-O-Wisp,Morning Sun,Jolly,31,272,197,147,158,157,217,,,,,,,,,
Arcanine,59,--,Intimidate,Flame Wheel,Crunch,Extreme Speed,Roar,Careful,2,313,248,188,205,206,218,,,,,,,,,
Poliwag,60,--,Damp,Surf,Hypnosis,Swagger,Growth,Timid,26,230,117,125,174,125,255,,,,,,,,,
Poliwhirl,61,--,Damp,Dive,Wake-Up Slap,Ice Ball,Earthquake,Adamant,18,279,215,174,110,144,224,,,,,,,,,
Poliwrath,62,--,Water Absorb,Hydro Pump,Dynamic Punch,Mind Reader,Bulk Up,Mild,7,318,203,200,190,213,173,,,,,,,,,
Abra,63,--,Synchronize,Psychic,Energy Ball,Swagger,Light Screen,Timid,25,206,63,81,261,161,279,,,,,,,,,
Kadabra,64,--,Magic Guard,Psychic,Shock Wave,Kinesis,Role Play,Careful,17,228,92,124,254,201,253,,,,,,,,,
Alakazam,65,--,Inner Focus,Psybeam,Signal Beam,Kinesis,Guard Swap,Impish,14,255,119,143,260,210,259,,,,,,,,,
Machop,66,--,No Guard,Dynamic Punch,Mega Kick,Earthquake,Bullet Punch,Brave,26,297,233,152,122,122,109,,,,,,,,,
Machoke,67,--,No Guard,Cross Chop,Rock Slide,Bullet Punch,Scary Face,Sassy,16,307,242,182,142,178,118,,,,,,,,,
Machamp,68,--,No Guard,Submission,Fire Punch,Rock Climb,Toxic,Modest,7,318,263,193,179,203,143,,,,,,,,,
Bellsprout,69,--,Chlorophyll,Sludge Bomb,Weather Ball,Sleep Powder,Sunny Day,Timid,31,242,167,106,239,96,196,,,,,,,,,
Weepinbell,70,--,Chlorophyll,Power Whip,Wring Out,Growth,Sunny Day,Modest,31,293,194,157,295,147,146,,,,,,,,,
Victreebel,71,--,Chlorophyll,Vine Whip,Slam,Leech Life,Tickle,Adamant,31,322,339,177,212,167,197,,,,,,,,,
Tentacool,72,--,Clear Body,Hydro Pump,Sludge Bomb,Blizzard,Mirror Coat,Gentle,23,234,108,88,191,273,189,,,,,,,,,
Tentacruel,73,--,Liquid Ooze,Dive,Poison Jab,Swords Dance,Giga Impact,Quirky,6,297,172,162,192,272,232,,,,,,,,,
Geodude,74,--,Sturdy,Earthquake,Stone Edge,Sucker Punch,Explosion,Careful,31,284,197,236,86,174,76,,,,,,,,,
Graveler,75,--,Sturdy,Gyro Ball,Fire Blast,Rock Polish,Stone Edge,Careful,18,263,240,278,101,151,118,,,,,,,,,
Golem,76,--,Sand Veil,Magnitude,Giga Impact,Gyro Ball,Sandstorm,Gentle,31,333,256,295,146,251,126,,,,,,,,,
Ponyta,77,--,Flame Body,Flare Blitz,Iron Tail,Hypnosis,Morning Sun,Jolly,16,247,212,152,154,172,244,,,,,,,,,
Rapidash,78,--,Flash Fire,Heat Wave,Low Kick,Stomp,Attract,Hasty,11,272,238,159,197,197,271,,,,,,,,,
Slowpoke,79,--,Own Tempo,Aqua Tail,Fire Blast,Earthquake,Trick Room,Careful,25,336,181,181,117,144,81,,,,,,,,,
Slowbro,80,--,Own Tempo,Psychic,Blizzard,Trick Room,Iron Tail,Naughty,8,329,202,254,234,174,94,,,,,,,,,
Magnemite,81,--,Sturdy,Thunder,Flash Cannon,Supersonic,Charge Beam,Rash,24,205,120,190,264,144,140,,,,,,,,,
Magneton,82,--,Sturdy,Discharge,Mirror Shot,Metal Sound,Supersonic,Naughty,10,241,171,226,276,158,176,,,,,,,,,
Farfetch'd,83,--,Inner Focus,Fly,Slash,Leaf Blade,Swords Dance,Jolly,31,270,206,164,136,177,201,,,,,,,,,
Doduo,84,--,Tangled Feet,Fly,Facade,Low Kick,Haze,Jolly,31,232,227,158,95,138,227,,,,,,,,,
Dodrio,85,--,Early Bird,Drill Peck,Tri Attack,Acupressure,Rest,Modest,11,263,212,198,172,178,216,,,,,,,,,
Seel,86,--,Hydration,Surf,Blizzard,Encore,Perish Song,Bold,31,303,113,195,157,208,126,,,,,,,,,
Dewgong,87,--,Thick Fat,Avalanche,Aqua Jet,Giga Impact,Safeguard,Brave,31,335,209,210,190,240,171,,,,,,,,,
Grimer,88,--,Stench,Gunk Shot,Dig,Shadow Ball,Fire Blast,Adamant,24,315,232,160,98,160,100,,,,,,,,,
Muk,89,--,Sticky Hold,Payback,Rock Slide,Brick Break,Acid Armor,Rash,31,360,255,195,192,220,145,,,,,,,,,
Shellder,90,--,Skill Link,Dive,Avalanche,Rock Blast,Ice Shard,Careful,26,259,193,231,108,124,111,,,,,,,,,
Cloyster,91,--,Skill Link,Surf,Icicle Spear,Spike Cannon,Spikes,Gentle,5,236,242,333,180,156,171,,,,,,,,,
Gastly,92,--,Levitate,Sludge Bomb,Shadow Ball,Thunderbolt,Psychic,Timid,25,216,108,111,251,121,232,,,,,,,,,
Haunter,93,--,Levitate,Night Shade,Dream Eater,Curse,Hypnosis,Timid,16,237,127,132,272,152,255,,,,,,,,,
Gengar,94,--,Levitate,Dark Pulse,Night Shade,Taunt,Self-Destruct,Naughty,7,258,200,153,267,164,253,,,,,,,,,
Onix,95,--,Sturdy,Earthquake,Stone Edge,Screech,Rock Polish,Adamant,18,209,193,364,74,124,184,,,,,,,,,
Drowzee,96,--,Insomnia,Shadow Ball,Dream Eater,Seismic Toss,Hypnosis,Relaxed,23,274,124,152,177,229,100,,,,,,,,,
Hypno,97,--,Insomnia,Zen Headbutt,Rest,Giga Impact,Sleep Talk,Naughty,31,325,220,188,182,239,185,,,,,,,,,
Krabby,98,--,Shell Armor,Water Pulse,Guillotine,Amnesia,Iron Defense,Careful,24,257,239,209,71,156,130,,,,,,,,,
Kingler,99,--,Hyper Cutter,Crabhammer,Brick Break,Vice Grip,Rock Slide,Impish,9,250,295,291,121,135,185,,,,,,,,,
Voltorb,100,--,Aftermath,Thunder,HP Water 70,Rain Dance,Explosion,Mild,31,221,129,121,228,146,266,,,,,,,,,
Electrode,101,--,Soundproof,Thunderbolt,Signal Beam,Charge,Self-Destruct,Timid,9,260,160,175,195,195,323,,,,,,,,,
Exeggcute,102,--,Chlorophyll,Giga Drain,Dream Eater,Leech Seed,Sleep Powder,Careful,31,324,116,218,140,184,116,,,,,,,,,
Exeggutor,103,--,Chlorophyll,Wood Hammer,Psychic,Egg Bomb,Ingrain,Careful,5,326,221,201,252,177,141,,,,,,,,,
Cubone,104,--,Battle Armor,Bonemerang,Perish Song,Detect,Seismic Toss,Careful,31,263,178,247,104,195,106,,,,,,,,,
Marowak,105,--,Rock Head,Bone Club,Take Down,Submission,Rock Smash,Careful,31,289,252,270,122,231,140,,,,,,,,,
Hitmonlee,106,--,Limber,High Jump Kick,Vacuum Wave,Blaze Kick,Feint,Modest,11,242,249,143,117,257,211,,,,,,,,,
Hitmonchan,107,--,Iron Fist,Mach Punch,Ice Punch,Stone Edge,Counter,Lax,11,242,247,214,107,231,189,,,,,,,,,
Lickitung,108,--,Cloud Nine,Mega Kick,Power Whip,Hammer Arm,Thunder,Brave,18,329,229,173,143,173,124,,,,,,,,,
Koffing,109,--,Levitate,Sludge Bomb,Fire Blast,Dark Pulse,Thunder,Sassy,22,254,157,238,168,174,87,,,,,,,,,
Weezing,110,--,Levitate,Shadow Ball,Thunder,Dark Pulse,Hyper Beam,Docile,8,269,214,274,204,174,154,,,,,,,,,
Rhyhorn,111,--,Reckless,Earthquake,Stone Edge,Submission,Fire Blast,Careful,31,322,227,247,86,174,86,,,,,,,,,
Rhydon,112,--,Lightning Rod,Stone Edge,Giga Impact,Fire Punch,Aqua Tail,Modest,31,373,266,276,207,147,137,,,,,,,,,
Chansey,113,--,Serene Grace,Ice Beam,Stealth Rock,Thunderbolt,Metronome,Rash,21,652,57,57,151,212,148,,,,,,,,,
Tangela,114,--,Chlorophyll,Mega Drain,Sleep Powder,Growth,Substitute,Bold,13,274,115,295,239,140,159,,,,,,,,,
Kangaskhan,115,--,Scrappy,Fake Out,Dizzy Punch,Outrage,Reversal,Quiet,8,349,224,194,125,194,192,,,,,,,,,
Horsea,116,--,Swift Swim,Hydro Pump,Ice Beam,Smokescreen,Rain Dance,Modest,27,218,119,193,212,103,173,,,,,,,,,
Seadra,117,--,Sniper,Muddy Water,Dragon Breath,Toxic,Smokescreen,Hasty,13,254,169,206,229,129,229,,,,,,,,,
Goldeen,118,--,Swift Swim,Waterfall,Megahorn,Horn Drill,Rain Dance,Adamant,24,245,202,170,108,150,176,,,,,,,,,
Seaking,119,--,Lightning Rod,Hydro Pump,Poison Jab,Horn Drill,Agility,Quiet,12,303,222,168,195,198,147,,,,,,,,,
Staryu,120,--,Illuminate,Surf,Thunderbolt,Cosmic Power,Recover,Modest,31,211,113,156,216,156,227,,,,,,,,,
Starmie,121,--,Natural Cure,Psychic,Water Pulse,Power Gem,Camouflage,Impish,5,256,181,221,207,201,261,,,,,,,,,
Mr. Mime,122,--,Filter,Psybeam,Focus Blast,Magical Leaf,Reflect,Bold,11,222,114,183,237,277,217,,,,,,,,,
Scyther,123,--,Technician,X-Scissor,Wing Attack,False Swipe,Focus Energy,Quirky,7,278,253,193,143,193,243,,,,,,,,,
Jynx,124,--,Dry Skin,Psychic,Avalanche,Lick,Giga Impact,Jolly,11,272,137,107,240,227,249,,,,,,,,,
Electabuzz,125,--,Static,Thunder Punch,Dynamic Punch,Ice Punch,Thunder Wave,Naive,8,269,200,148,224,183,268,,,,,,,,,
Magmar,126,--,Flame Body,Fire Punch,Focus Blast,Giga Impact,Confuse Ray,Timid,8,269,201,148,234,204,242,,,,,,,,,
Pinsir,127,--,Mold Breaker,X-Scissor,Vital Throw,Giga Impact,Stone Edge,Bold,7,268,254,256,143,173,203,,,,,,,,,
Tauros,128,--,Anger Point,Iron Head,Zen Headbutt,Stone Edge,Endure,Adamant,8,289,257,224,102,174,254,,,,,,,,,
Magikarp,129,--,Swift Swim,Hydro Pump,Bounce,Dragon Pulse,Splash,Rash,31,181,56,146,141,68,259,,,,,,,,,
Gyarados,130,--,Intimidate,Aqua Tail,Hyper Beam,Twister,Taunt,Modest,0,300,229,163,240,205,179,,,,,,,,,
Lapras,131,--,Shell Armor,Surf,Avalanche,Strength,Captivate,Adamant,4,395,220,190,180,220,150,,,,,,,,,
Ditto,132,Quick Powder,Limber,Transform,--,--,--,Timid,31,300,118,132,132,132,214,,,,,,,,,
Eevee,133,--,Adaptability,Take Down,Iron Tail,Quick Attack,Curse,Jolly,31,298,209,153,113,166,160,,,,,,,,,
Vaporeon,134,--,Water Absorb,Muddy Water,Shadow Ball,Fake Tears,Acid Armor,Docile,12,382,147,137,237,207,147,,,,,,,,,
Jolteon,135,--,Volt Absorb,Discharge,Last Resort,Sand Attack,Tickle,Hardy,5,266,161,151,251,221,291,,,,,,,,,
Flareon,136,--,Flash Fire,Fire Fang,Take Down,Tail Whip,Will-O-Wisp,Impish,5,266,291,166,198,251,161,,,,,,,,,
Porygon,137,--,Download,Tri Attack,Iron Tail,Aerial Ace,Giga Impact,Relaxed,0,240,156,262,206,249,76,,,,,,,,,
Omanyte,138,--,Swift Swim,Surf,Ancient Power,Ice Beam,Rain Dance,Quirky,31,230,116,245,239,182,145,,,,,,,,,
Omastar,139,--,Shell Armor,Muddy Water,Ancient Power,Mud Shot,Captivate,Quirky,8,279,154,284,264,174,144,,,,,,,,,
Kabuto,140,--,Battle Armor,Waterfall,Rock Slide,Aqua Jet,Confuse Ray,Careful,31,243,238,216,131,184,146,,,,,,,,,
Kabutops,141,--,Battle Armor,Aqua Tail,Stone Edge,X-Scissor,Giga Impact,Calm,29,274,237,244,180,212,194,,,,,,,,,
Aerodactyl,142,--,Pressure,Rock Slide,Aerial Ace,Supersonic,Stealth Rock,Docile,6,297,242,162,152,182,292,,,,,,,,,
Snorlax,143,--,Thick Fat,Pay Day,Rock Smash,Lick,Curse,Adamant,24,454,350,159,149,249,97,,,,,,,,,
Articuno ,144,--,Pressure,Blizzard,Pluck,Ancient Power,Mist,Quirky,0,311,196,226,216,276,196,,,,,,,,,
Zapdos,145,--,Pressure,Thunder,Giga Impact,Rock Smash,Detect,Adamant,0,290,272,175,229,185,238,,,,,,,,,
Moltres,146,--,Pressure,Overheat,Aerial Ace,Steel Wing,Agility,Adamant,0,311,248,206,248,196,208,,,,,,,,,
Dratini,147,--,Shed Skin,Outrage,Extreme Speed,Waterfall,Dragon Dance,Adamant,31,265,203,147,136,141,157,,,,,,,,,
Dragonair,148,--,Shed Skin,Draco Meteor,Fire Blast,Extreme Speed,Safeguard,Bold,15,268,188,188,181,181,181,,,,,,,,,
Dragonite,149,--,Inner Focus,Dragon Rush,Zap Cannon,Surf,Defog,Modest,0,292,245,195,225,205,165,,,,,,,,,
Mewtwo,150,--,Pressure,Psycho Cut,Me First,Disable,Miracle Eye,Hardy,0,334,237,197,325,197,277,,,,,,,,,
Mew,151,--,Synchronize,Psychic,Me First,Transform,Metronome,Quirky,0,330,225,225,225,225,225,,,,,,,,,
Chikorita,152,--,Overgrow,Seed Bomb,Leech Seed,Counter,Light Screen,Careful,31,294,134,167,120,251,126,,,,,,,,,
Bayleef,153,--,Overgrow,Seed Bomb,Body Slam,Nature Power,Swords Dance,Adamant,31,300,200,218,145,218,178,,,,,,,,,
Meganium,154,--,Overgrow,Earthquake,Seed Bomb,Giga Impact,Sweet Scent,Brave,5,296,214,231,197,231,171,,,,,,,,,
Cyndaquil,155,--,Blaze,Eruption,Fire Blast,HP Grass 70,Will-O-Wisp,Modest,31,228,125,127,220,141,229,,,,,,,,,
Quilava,156,--,Blaze,Flare Blitz,Reversal,Endure,Howl,Impish,31,282,189,193,176,193,221,,,,,,,,,
Typhlosion,157,--,Blaze,Flame Wheel,Giga Impact,Thunder Punch,Low Kick,Careful,4,295,202,190,204,224,234,,,,,,,,,
Totodile,158,--,Torrent,Waterfall,Ice Punch,Swords Dance,Dragon Dance,Adamant,31,266,212,189,111,157,147,,,,,,,,,
Croconaw,159,--,Torrent,Dive,Slash,Ice Fang,Screech,Jolly,16,272,202,202,144,168,173,,,,,,,,,
Feraligatr,160,--,Torrent,Aqua Tail,Dynamic Punch,Ice Beam,Leer,Calm,4,305,216,230,188,215,186,,,,,,,,,
Sentret,161,--,Keen Eye,Double-Edge,Aqua Tail,Sucker Punch,Reversal,Adamant,31,274,140,167,95,127,76,,,,,,,,,
Furret,162,--,Keen Eye,Headbutt,Ice Punch,Thunder Punch,Me First,Mild,15,300,193,154,172,135,225,,,,,,,,,
Hoothoot,163,--,Tinted Lens,Air Slash,Agility,Hypnosis,Whirlwind,Timid,31,262,86,96,171,148,218,,,,,,,,,
Noctowl,164,--,Tinted Lens,Air Cutter,Hyper Beam,Dream Eater,Hypnosis,Timid,13,344,125,139,191,231,196,,,,,,,,,
Ledyba,165,--,Swarm,Bug Buzz,Air Cutter,Light Screen,Reflect,Timid,29,220,66,94,177,194,227,,,,,,,,,
Ledian,166,--,Iron Fist,Aerial Ace,Giga Impact,Ice Punch,Thunder Punch,Adamant,31,283,185,168,131,256,206,,,,,,,,,
Spinarak,167,--,Sniper,Megahorn,Night Slash,Sucker Punch,Night Shade,Adamant,31,289,189,140,104,140,96,,,,,,,,,
Ariados,168,--,Swarm,Poison Jab,Bug Bite,Giga Impact,Agility,Lonely,18,289,246,175,143,175,124,,,,,,,,,
Crobat,169,--,Inner Focus,Fly,Poison Fang,Steel Wing,Supersonic,Serious,4,305,210,190,170,190,290,,,,,,,,,
Chinchou,170,--,Volt Absorb,Thunder,Surf,Icy Wind,Rain Dance,Calm,31,322,100,150,153,185,202,,,,,,,,,
Lanturn,171,--,Water Absorb,Bubble Beam,Spark,Bounce,Charge,Naughty,31,403,180,164,200,180,182,,,,,,,,,
Pichu,172,--,Static,Volt Tackle,Reversal,Teeter Dance,Substitute,Jolly,31,181,179,66,95,107,240,,,,,,,,,
Cleffa,173,--,Cute Charm,Fire Blast,Shadow Ball,Psychic,Grass Knot,Calm,31,297,77,153,126,167,70,,,,,,,,,
Igglybuff,174,--,Cute Charm,Seismic Toss,Shadow Ball,Counter,Shock Wave,Bold,31,384,86,72,117,139,66,,,,,,,,,
Togepi,175,--,Super Luck,Seismic Toss,Yawn,Shock Wave,Soft-Boiled,Calm,31,274,68,207,116,207,76,,,,,,,,,
Togetic,176,--,Serene Grace,Tri Attack,Air Cutter,Ancient Power,Metronome,Quirky,16,257,122,212,202,252,122,,,,,,,,,
Natu,177,--,Synchronize,Psychic,Night Shade,Confuse Ray,Wish,Timid,31,284,122,126,198,126,239,,,,,,,,,
Xatu,178,--,Early Bird,Drill Peck,Psychic,Giga Drain,Psycho Shift,Impish,10,271,186,193,203,176,226,,,,,,,,,
Mareep,179,--,Static,Thunderbolt,Signal Beam,Thunder Wave,Reflect,Modest,28,277,101,130,248,141,103,,,,,,,,,
Flaaffy,180,--,Static,Thunder Punch,Focus Punch,Fire Punch ,Flatter,Adamant,31,281,229,178,176,188,126,,,,,,,,,
Ampharos,181,--,Static,Zap Cannon,Dynamic Punch,Swift,Odor Sleuth,Careful,28,330,195,195,247,247,155,,,,,,,,,
Bellossom,182,--,Chlorophyll,Petal Dance,Secret Power,Drain Punch,Teeter Dance,Quiet,9,290,195,216,236,246,102,,,,,,,,,
Marill,183,--,Huge Power,Waterfall,Body Slam,Rollout,Defense Curl,Adamant,31,302,152,157,68,157,116,,,,,,,,,
Azumarill,184,--,Huge Power,Aqua Tail,Superpower,Rollout,Grass Knot,Timid,8,319,120,183,176,183,146,,,,,,,,,
Sudowoodo,185,--,Rock Head,Stone Edge,Wood Hammer,Hammer Arm,Copycat,Hardy,16,287,242,272,102,172,102,,,,,,,,,
Politoed,186,--,Drizzle,Water Pulse,Hyper Voice,Mud Shot,Perish Song,Bold,7,318,164,201,213,233,173,,,,,,,,,
Hoppip,187,--,Chlorophyll,Solar Beam,Toxic ,Sunny Day,Synthesis,Calm,31,274,95,147,106,181,150,,,,,,,,,
Skiploom,188,--,Chlorophyll,Seed Bomb,Bounce,Sleep Powder,Memento,Adamant,22,243,198,127,105,157,250,,,,,,,,,
Jumpluff,189,--,Leaf Guard,Bounce,Giga Drain,Leech Seed,Poison Powder,Serious,31,297,152,182,152,232,262,,,,,,,,,
Aipom,190,--,Skill Link,Thunder,Brick Break,Shadow Ball,Fake Out,Serious,31,273,239,146,116,167,227,,,,,,,,,
Sunkern,191,--,Early Bird,Seed Bomb,Leech Seed,Substitute,Spore,Jolly,31,201,96,128,86,128,174,,,,,,,,,
Sunflora,192,--,Early Bird,Giga Drain,Earth Power,Sludge Bomb,Protect,Calm,31,312,186,167,267,249,117,,,,,,,,,
Yanma,193,--,Speed Boost,Bug Buzz,Air Slash,Hypnosis,Detect,Impish,18,279,174,147,174,134,234,,,,,,,,,
Wooper,194,--,Unaware,Earthquake,Aqua Tail,Yawn,Protect,Adamant,31,272,207,137,77,118,66,,,,,,,,,
Quagsire,195,--,Damp,Muddy Water,Dig,Ice Beam,Amnesia,Quirky,14,335,210,210,170,170,110,,,,,,,,,
